ID,Modulo,Prioridad,Documento,Requisito
ARQ-09,Arquitectura,MVP,03-arquitectura.md,"Todo importe se guarda como entero en centavos. Ningún cálculo de dinero usa coma flotante."
ARQ-10,Arquitectura,MVP,03-arquitectura.md,"Los cortes de día usan la zona horaria de la empresa (por defecto `America/Puerto_Rico`), no la del servidor ni la del navegador."
ARQ-11,Arquitectura,MVP,03-arquitectura.md,"Bitácora append-only de creación, edición y anulación en documentos, inventario, usuarios y configuración: quién, cuándo, desde dónde, valor anterior y nuevo."
ARQ-12,Arquitectura,MVP,03-arquitectura.md,"Borrado lógico con retención. Ningún registro de negocio se elimina físicamente por una acción de usuario."
ARQ-13,Arquitectura,MVP,03-arquitectura.md,"Identificadores públicos largos y no adivinables (ULID o UUID v7) en empresa, usuario, producto, cliente, documento y todo recurso alcanzable por la API. La clave incremental existe solo como índice interno de la base: no aparece en URLs, respuestas, exportaciones ni pantallas."
ARQ-14,Arquitectura,F2,03-arquitectura.md,"Impersonación desde la consola: requiere motivo escrito, caduca en 60 minutos, queda en bitácora y muestra un aviso fijo en pantalla mientras está activa."
ARQ-15,Arquitectura,F2,03-arquitectura.md,"Clave de idempotencia obligatoria al crear documentos y pagos, para que un doble clic o un reintento de red no duplique una factura."
ARQ-16,Arquitectura,F2,03-arquitectura.md,"Cola de trabajos para importaciones, exportaciones grandes, correos y reportes pesados, con estado visible para el usuario."
ARQ-18,Arquitectura,MVP,03-arquitectura.md,"Las reglas de negocio viven en `app/Domain`, sin dependencias del framework, con análisis estático estricto y pruebas propias."
ARQ-19,Arquitectura,MVP,03-arquitectura.md,"Enumerar recursos no revela cuántos hay ni permite recorrerlos: la paginación usa cursor opaco, no un índice numérico sobre identificadores."
ARQ-20,Arquitectura,MVP,03-arquitectura.md,"Cada respuesta de la API expone solo los campos que la pantalla necesita, a través de recursos explícitos. Nunca se serializa el modelo completo."
ARQ-21,Arquitectura,MVP,03-arquitectura.md,"Un identificador que no pertenece a la empresa de la sesión responde ""no encontrado"", nunca ""sin permiso"", para no confirmar que existe."
ARQ-17,Arquitectura,F3,03-arquitectura.md,"Réplica de lectura para reportes, de modo que un reporte pesado no afecte la velocidad de la caja."
ROL-01,Roles y permisos,MVP,04-roles-y-permisos.md,"Roles predefinidos con permisos fijos en el MVP; roles personalizados por empresa más adelante."
ROL-02,Roles y permisos,MVP,04-roles-y-permisos.md,"Toda empresa tiene al menos un Propietario activo; el sistema impide quitar el último."
ROL-03,Roles y permisos,MVP,04-roles-y-permisos.md,"Los permisos se verifican en el servidor por endpoint. Ocultar un botón en la interfaz no cuenta como permiso."
ROL-04,Roles y permisos,MVP,04-roles-y-permisos.md,"Roles de plataforma: Superadmin (todo), Soporte (lectura más impersonación con motivo), Comercial (cuentas, planes y cobros, sin datos de negocio)."
ROL-05,Roles y permisos,MVP,04-roles-y-permisos.md,"El cambio de rol de un usuario toma efecto en su siguiente petición, sin necesidad de que cierre sesión."
ROL-06,Roles y permisos,MVP,04-roles-y-permisos.md,"Toda asignación y cambio de rol queda en la bitácora con quién lo hizo."
ROL-07,Roles y permisos,MVP,04-roles-y-permisos.md,"Cada rol trae su matriz de permisos visible en la consola, no solo su nombre."
ROL-08,Roles y permisos,MVP,04-roles-y-permisos.md,"El rol Empleado se acota con un perfil al invitar al usuario: mostrador o almacén. Un mismo usuario puede tener los dos."
ROL-09,Roles y permisos,MVP,04-roles-y-permisos.md,"El rol se asigna por empresa, no por usuario: la misma persona puede ser Propietario en una y Empleado en otra."
ROL-10,Roles y permisos,F3,04-roles-y-permisos.md,"Roles personalizados con permisos granulares por módulo."
AUT-01,Acceso y cuentas,MVP,05-app-empresa.md,"Inicio de sesión con correo y contraseña, con bloqueo temporal progresivo tras 5 intentos fallidos."
AUT-02,Acceso y cuentas,MVP,05-app-empresa.md,"No hay registro público. Las cuentas de empresa nacen en la consola; los demás usuarios entran por invitación."
AUT-03,Acceso y cuentas,MVP,05-app-empresa.md,"Invitación por correo con rol asignado, enlace de un solo uso que caduca en 72 horas y se puede reenviar o revocar."
AUT-04,Acceso y cuentas,MVP,05-app-empresa.md,"Recuperación de contraseña por enlace de un solo uso; el mensaje no revela si el correo existe."
AUT-05,Acceso y cuentas,MVP,05-app-empresa.md,"Un usuario pertenece a varias empresas y alterna entre ellas sin cerrar sesión ni volver a escribir su clave."
AUT-06,Acceso y cuentas,MVP,05-app-empresa.md,"Cierre de sesión por inactividad configurable por empresa: 12 horas por defecto, 30 minutos en perfiles de caja."
AUT-07,Acceso y cuentas,F2,05-app-empresa.md,"Segundo factor por aplicación de códigos (TOTP), opcional para todos y exigible por el Propietario a toda la empresa."
AUT-08,Acceso y cuentas,F2,05-app-empresa.md,"Pantalla de sesiones activas con dispositivo, lugar aproximado y último acceso, y opción de cerrar cualquiera."
AUT-09,Acceso y cuentas,F2,05-app-empresa.md,"Código PIN corto para cambiar de cajero en el mismo dispositivo sin cerrar la sesión de la empresa."
AUT-10,Acceso y cuentas,F3,05-app-empresa.md,"Inicio de sesión con Google para empresas que lo prefieran."
EMP-01,Empresa y sucursales,MVP,05-app-empresa.md,"Datos de la empresa: nombre legal, nombre comercial, número de registro de comerciante, teléfono, correo, dirección física y postal, logo para documentos."
EMP-02,Empresa y sucursales,MVP,05-app-empresa.md,"Configuración fiscal: tasas de impuesto disponibles con su desglose (estatal y municipal), tasa por defecto, y manejo de productos y clientes exentos."
EMP-03,Empresa y sucursales,MVP,05-app-empresa.md,"Preferencias: idioma, formato de fecha, zona horaria, decimales y redondeo."
EMP-04,Empresa y sucursales,MVP,05-app-empresa.md,"Series y plantillas de documentos: prefijo, próximo número, términos de pago por defecto, notas al pie y mensaje de agradecimiento."
EMP-05,Empresa y sucursales,MVP,05-app-empresa.md,"Selector de empresa en la barra superior con búsqueda a partir de 5 empresas, iniciales, empresa actual marcada y el rol del usuario en cada una. Sin identificadores internos."
EMP-06,Empresa y sucursales,MVP,05-app-empresa.md,"El usuario solo ve las empresas donde tiene membresía activa; una empresa suspendida se muestra en gris con su estado."
EMP-07,Empresa y sucursales,MVP,05-app-empresa.md,"Aviso al crear una empresa con nombre igual a otra existente, obligando a confirmar o diferenciar."
EMP-08,Empresa y sucursales,F2,05-app-empresa.md,"Sucursales y almacenes: existencia por sucursal, traspasos con documento, y series de facturación por sucursal."
EMP-09,Empresa y sucursales,F2,05-app-empresa.md,"Horarios y datos de contacto por sucursal, usados en los documentos que emite."
SUP-01,Suplidores,MVP,05-app-empresa.md,"Campos separados y bien nombrados: razón social, nombre comercial, número de cliente que el suplidor nos asignó, teléfono, correo, vendedor de contacto, términos de pago, notas. Corrige el cruce actual entre nombre de empresa y nombre de contacto."
SUP-02,Suplidores,MVP,05-app-empresa.md,"Validaciones: razón social obligatoria, número de cliente único por empresa, teléfono con máscara y correo con formato."
SUP-03,Suplidores,MVP,05-app-empresa.md,"Listado con búsqueda, orden por columna, paginación en servidor y exportación de la vista filtrada."
SUP-04,Suplidores,MVP,05-app-empresa.md,"Desactivar en vez de borrar: un suplidor inactivo no aparece en selectores pero conserva su historial."
SUP-05,Suplidores,F2,05-app-empresa.md,"Ficha del suplidor con sus productos, últimas recepciones de compra, total comprado por periodo y plazo promedio de entrega."
SUP-06,Suplidores,F2,05-app-empresa.md,"Varios contactos por suplidor, cada uno con cargo y teléfono."
SUP-07,Suplidores,F3,05-app-empresa.md,"Cuentas por pagar: saldo con el suplidor y registro de pagos."
CAT-01,Categorias,MVP,05-app-empresa.md,"Nombre único por empresa, descripción opcional y color de etiqueta elegido de una paleta accesible."
CAT-02,Categorias,MVP,05-app-empresa.md,"El listado muestra cuántos productos tiene cada categoría y su valor de inventario."
CAT-03,Categorias,MVP,05-app-empresa.md,"No se puede eliminar una categoría con productos: el sistema ofrece reasignarlos a otra en la misma acción."
CAT-04,Categorias,F2,05-app-empresa.md,"Reordenar categorías para controlar el orden en que aparecen en la pantalla de venta."
CAT-05,Categorias,F3,05-app-empresa.md,"Subcategorías de un nivel."
PRO-01,Productos,MVP,05-app-empresa.md,"Campos: nombre, código interno (SKU), código de barras, descripción, categoría, suplidor, unidad de medida, costo, precio de venta, tasa de impuesto, existencia, existencia mínima, marca de servicio, activo."
PRO-02,Productos,MVP,05-app-empresa.md,"Precio de venta y margen calculado visible al capturar, con aviso cuando el precio queda por debajo del costo."
PRO-03,Productos,MVP,05-app-empresa.md,"Al marcar ""servicio"", los campos de existencia se ocultan y dejan de exigirse; el producto no genera movimientos de inventario."
PRO-04,Productos,MVP,05-app-empresa.md,"Nombres de campo completos en la interfaz: ""Existencia mínima"" e ""Impuesto (%)"", no ""Exit. Min"" ni ""Tax""."
PRO-05,Productos,MVP,05-app-empresa.md,"Búsqueda por nombre, SKU o código de barras, con soporte de lector de códigos en el campo de búsqueda."
PRO-06,Productos,MVP,05-app-empresa.md,"Filtros combinables y recordados en la URL: categoría, suplidor, estado de existencia (agotado, bajo mínimo, normal), activo, servicio."
PRO-07,Productos,MVP,05-app-empresa.md,"Importación por plantilla en tres pasos: descargar plantilla, subir y ver una vista previa con validación fila por fila, confirmar. Informe de errores descargable y opción de actualizar los existentes por SKU."
PRO-08,Productos,MVP,05-app-empresa.md,"Una importación es atómica: o entra completa o no entra nada, y queda registrada con quién la hizo y cuántas filas afectó."
PRO-09,Productos,MVP,05-app-empresa.md,"Exportación de la vista filtrada a CSV y XLSX, con los filtros aplicados anotados en el archivo."
PRO-10,Productos,MVP,05-app-empresa.md,"Acciones en lote sobre la selección: cambiar categoría, suplidor o tasa, activar o desactivar, y ajustar precio por porcentaje con vista previa del resultado."
PRO-11,Productos,F2,05-app-empresa.md,"Imagen principal del producto, usada en la pantalla de venta y en el catálogo."
PRO-12,Productos,F2,05-app-empresa.md,"Historial de cambios de costo y precio con fecha y usuario."
PRO-13,Productos,F3,05-app-empresa.md,"Combos o paquetes que descuentan varios productos al venderse."
PRO-14,Productos,F3,05-app-empresa.md,"Variantes por talla, color o sabor con existencia propia."
PRO-15,Productos,F3,05-app-empresa.md,"Listas de precio por tipo de cliente y precio de mayoreo por cantidad."
INV-01,Inventario,MVP,05-app-empresa.md,"Toda variación de existencia se guarda como movimiento con tipo (entrada, venta, devolución, ajuste, traspaso, merma), cantidad, costo unitario, usuario, fecha y referencia al documento que la originó."
INV-02,Inventario,MVP,05-app-empresa.md,"La existencia mostrada se deriva de los movimientos; no es un número que se pueda teclear directamente."
INV-03,Inventario,MVP,05-app-empresa.md,"Un ajuste manual exige motivo de una lista y comentario, y aparece en la bitácora y en el reporte de ajustes."
INV-04,Inventario,MVP,05-app-empresa.md,"Recepción de compra: se captura la factura del suplidor con sus renglones, se actualiza existencia y se recalcula el costo por promedio ponderado."
INV-05,Inventario,MVP,05-app-empresa.md,"Panel de existencias con los productos agotados y bajo mínimo, ordenados por impacto en ventas, y acción directa para reponer."
INV-06,Inventario,MVP,05-app-empresa.md,"Valorización del inventario a costo, con corte a una fecha y desglose por categoría."
INV-07,Inventario,MVP,05-app-empresa.md,"Kardex por producto: todos sus movimientos con saldo corrido y enlace al documento."
INV-08,Inventario,F2,05-app-empresa.md,"Conteo físico: generar hoja de conteo, capturar lo contado, ver diferencias y aplicar el ajuste en un solo paso registrado."
INV-09,Inventario,F2,05-app-empresa.md,"Fecha de vencimiento y lote para productos perecederos, con alerta por vencer."
INV-10,Inventario,F3,05-app-empresa.md,"Sugerencia de orden de compra por suplidor a partir de mínimos, ventas recientes y plazo de entrega."
CLI-01,Clientes,MVP,05-app-empresa.md,"Ficha: nombre, tipo (persona o empresa), teléfono, correo, dirección, exención de impuesto con número de certificado, términos de pago, límite de crédito y notas."
CLI-02,Clientes,MVP,05-app-empresa.md,"Creación al vuelo desde la pantalla de facturación, con solo el nombre y el teléfono como mínimo."
CLI-03,Clientes,MVP,05-app-empresa.md,"Estado de cuenta: facturas, pagos, saldo pendiente y antigüedad de saldos (corriente, 30, 60, 90 o más días)."
CLI-04,Clientes,F2,05-app-empresa.md,"Aviso de posible duplicado al capturar un cliente con teléfono o nombre parecido a otro existente."
CLI-05,Clientes,F3,05-app-empresa.md,"Fusionar dos clientes conservando su historial."
FAC-01,Facturacion,MVP,05-app-empresa.md,"Flujo cotización a factura a pago, con el enlace entre documentos siempre visible."
FAC-02,Facturacion,MVP,05-app-empresa.md,"Estados explícitos: borrador, emitida, pagada parcial, pagada, vencida, anulada. El estado se calcula, no se elige a mano."
FAC-03,Facturacion,MVP,05-app-empresa.md,"Renglones con producto del catálogo o texto libre, cantidad, precio, descuento por renglón en monto o porcentaje, e impuesto por renglón."
FAC-04,Facturacion,MVP,05-app-empresa.md,"Totales desglosados: subtotal, descuento, impuesto separado en estatal y municipal, total, pagado y saldo."
FAC-05,Facturacion,MVP,05-app-empresa.md,"Reglas de cálculo fijas y probadas: impuesto sobre la base neta después de descuento, redondeo a dos decimales por renglón, y el total nunca difiere de la suma de sus partes."
FAC-06,Facturacion,MVP,05-app-empresa.md,"Cliente exento o producto exento no generan impuesto, y el documento indica por qué."
FAC-07,Facturacion,MVP,05-app-empresa.md,"Pagos múltiples y mixtos en una misma factura: efectivo con cambio calculado, ATH Móvil, tarjeta, transferencia, cheque y crédito, cada uno con referencia."
FAC-08,Facturacion,MVP,05-app-empresa.md,"Al emitir, el inventario se descuenta en la misma transacción. Si un renglón no tiene existencia, el sistema avisa y permite o bloquea la venta según la configuración de la empresa."
FAC-09,Facturacion,MVP,05-app-empresa.md,"Anulación con motivo: la factura nunca se borra, se marca anulada, se revierte el inventario y el número queda ocupado."
FAC-10,Facturacion,MVP,05-app-empresa.md,"PDF con la marca de la empresa, envío por correo y enlace público de solo lectura para el cliente."
FAC-11,Facturacion,MVP,05-app-empresa.md,"Impresión en recibo térmico de 80 mm y en tamaño carta, desde la misma factura."
FAC-12,Facturacion,MVP,05-app-empresa.md,"Pantalla de venta rápida para mostrador: búsqueda o escáner, teclado numérico, cobro e impresión sin salir de la pantalla, en menos de 20 segundos por venta."
FAC-13,Facturacion,MVP,05-app-empresa.md,"Listado de facturas con filtros por estado, fecha, cliente, vendedor y método de pago, y totales de la vista filtrada al pie."
FAC-14,Facturacion,F2,05-app-empresa.md,"Nota de crédito y devolución parcial que reingresa existencia y ajusta el saldo del cliente."
FAC-15,Facturacion,F2,05-app-empresa.md,"Cobranza: cálculo de vencimiento por términos de pago y recordatorio automático por correo."
FAC-16,Facturacion,F2,05-app-empresa.md,"Propina y cargo por servicio configurables, separados del impuesto."
FAC-17,Facturacion,F3,05-app-empresa.md,"Facturas recurrentes con emisión automática y aviso al cliente."
FAC-18,Facturacion,F3,05-app-empresa.md,"Cobro con terminal de tarjeta integrada."
CAJ-01,Hoja de Cuadre,MVP,05-app-empresa.md,"Apertura de turno por usuario y sucursal, con fondo inicial declarado. No se puede facturar en efectivo sin turno abierto."
CAJ-02,Hoja de Cuadre,MVP,05-app-empresa.md,"Cierre que compara, por método de pago, lo esperado según las ventas del turno contra lo declarado por el cajero."
CAJ-03,Hoja de Cuadre,MVP,05-app-empresa.md,"Conteo de efectivo con desglose opcional por denominación, que suma automáticamente."
CAJ-04,Hoja de Cuadre,MVP,05-app-empresa.md,"Cálculo de sobrante o faltante, con nota obligatoria cuando la diferencia supera el umbral configurado por la empresa."
CAJ-05,Hoja de Cuadre,MVP,05-app-empresa.md,"Movimientos de caja del turno: gastos menores, retiros y entradas, con categoría, comentario y comprobante adjunto."
CAJ-06,Hoja de Cuadre,MVP,05-app-empresa.md,"Un turno cerrado es inmutable. Cualquier corrección se hace con un movimiento de ajuste que queda registrado y firmado por quien lo autoriza."
CAJ-07,Hoja de Cuadre,MVP,05-app-empresa.md,"Hoja de cuadre imprimible y exportable, con ventas por método, impuestos cobrados, gastos, fondo, contado y diferencia."
CAJ-08,Hoja de Cuadre,F2,05-app-empresa.md,"Depósito bancario: monto, banco, referencia y comprobante, ligado a uno o varios turnos."
CAJ-09,Hoja de Cuadre,F2,05-app-empresa.md,"Histórico de cuadres con filtros por fecha, sucursal y usuario, y señal de faltantes recurrentes."
CAJ-10,Hoja de Cuadre,F2,05-app-empresa.md,"Cierre de día que consolida todos los turnos de la sucursal."
RPT-01,Panel y reportes,MVP,05-app-empresa.md,"Panel con información del negocio: ventas del día y del mes comparadas con el periodo anterior, saldo por cobrar, facturas vencidas, valor del inventario, productos bajo mínimo, últimas ventas y los cinco productos más vendidos."
RPT-02,Panel y reportes,MVP,05-app-empresa.md,"Cada tarjeta enlaza al listado filtrado que la sustenta; ninguna métrica es un número muerto."
RPT-03,Panel y reportes,MVP,05-app-empresa.md,"Rango de fechas global (hoy, 7 días, 30 días, mes, personalizado) que aplica a todo el panel."
RPT-04,Panel y reportes,MVP,05-app-empresa.md,"Los widgets de clima y frase del día salen del panel principal; si se conservan, quedan como bloque opcional que el usuario activa."
RPT-05,Panel y reportes,MVP,05-app-empresa.md,"Reportes: ventas por periodo, producto, categoría, cliente y vendedor; impuestos cobrados; inventario valorizado; movimientos de inventario; cuentas por cobrar; cuadres de caja; utilidad bruta por producto."
RPT-06,Panel y reportes,MVP,05-app-empresa.md,"Todo reporte se exporta a CSV, XLSX y PDF, y el archivo incluye en el encabezado la empresa, el rango y los filtros aplicados."
RPT-07,Panel y reportes,MVP,05-app-empresa.md,"Resumen mensual de impuesto cobrado con desglose estatal y municipal, listo para preparar la declaración."
RPT-08,Panel y reportes,F2,05-app-empresa.md,"Panel comparativo entre sucursales."
RPT-09,Panel y reportes,F3,05-app-empresa.md,"Reportes programados que llegan por correo cada semana o cada mes."
NOT-01,Notificaciones,MVP,05-app-empresa.md,"Centro de notificaciones en la app: producto bajo mínimo, factura vencida, cuadre con diferencia, importación terminada, invitación aceptada."
NOT-02,Notificaciones,MVP,05-app-empresa.md,"Correos transaccionales con la marca de la empresa: factura enviada, recordatorio de pago, invitación, recuperación de clave."
NOT-03,Notificaciones,F2,05-app-empresa.md,"Preferencias por usuario y por canal, con resumen diario en vez de un correo por evento."
NOT-04,Notificaciones,F3,05-app-empresa.md,"Envío de factura por WhatsApp o SMS."
ADM-01,Consola de plataforma,MVP,06-consola-plataforma.md,"Alta de una cuenta de empresa: datos fiscales, plan, módulos habilitados y correo del propietario inicial, que recibe la invitación al guardar."
ADM-02,Consola de plataforma,MVP,06-consola-plataforma.md,"Listado de empresas con estado (prueba, activa, morosa, suspendida, cancelada), plan, número de usuarios, última actividad y consumo frente a sus límites."
ADM-03,Consola de plataforma,MVP,06-consola-plataforma.md,"Suspender y reactivar una empresa. Al suspender, la app muestra un aviso claro y bloquea la escritura, pero conserva los datos y permite exportarlos."
ADM-04,Consola de plataforma,MVP,06-consola-plataforma.md,"Planes con límites: usuarios, sucursales, productos, facturas por mes y módulos incluidos. Al alcanzar un límite, la app avisa antes de bloquear."
ADM-05,Consola de plataforma,MVP,06-consola-plataforma.md,"Interruptores por empresa para Inventario, Facturación y Cuadre: un módulo apagado desaparece del menú, no queda visible y deshabilitado."
ADM-06,Consola de plataforma,MVP,06-consola-plataforma.md,"Gestión de usuarios de plataforma con roles, segundo factor obligatorio y registro de accesos."
ADM-07,Consola de plataforma,MVP,06-consola-plataforma.md,"Reenviar o revocar la invitación del propietario y reasignar la propiedad de una empresa cuando el dueño pierde el acceso."
ADM-08,Consola de plataforma,MVP,06-consola-plataforma.md,"La consola no muestra datos de negocio de una empresa en sus pantallas. El acceso al detalle ocurre solo por impersonación registrada o exportación autorizada."
ADM-09,Consola de plataforma,MVP,06-consola-plataforma.md,"Bitácora global consultable por empresa, usuario, acción y fecha, con exportación."
ADM-17,Consola de plataforma,MVP,06-consola-plataforma.md,"Catálogo global de métodos de pago administrado en la consola, con habilitación por empresa. El nombre lo fija la plataforma para que los reportes sean comparables entre empresas. Se completan los básicos que hoy faltan: efectivo, tarjeta y transferencia."
ADM-18,Consola de plataforma,MVP,06-consola-plataforma.md,"Los roles se administran con su matriz de permisos visible y editable en la consola. Hoy son solo nombres sin permisos asociados."
ADM-19,Consola de plataforma,MVP,06-consola-plataforma.md,"No puede existir una empresa sin al menos un usuario propietario: el alta obliga a asignarlo y la consola señala las que quedaron huérfanas."
ADM-20,Consola de plataforma,MVP,06-consola-plataforma.md,"Un usuario sin membresía en ninguna empresa no puede iniciar sesión en la app de empresa. La consola los lista y ofrece asignarles empresa o desactivarlos."
ADM-21,Consola de plataforma,MVP,06-consola-plataforma.md,"El panel de la consola muestra solo métricas reales de la plataforma. Se retiran los datos de demostración de la plantilla y los contadores cuadran con los listados."
ADM-22,Consola de plataforma,MVP,06-consola-plataforma.md,"País, moneda y régimen de impuesto se eligen al crear la empresa y determinan las tasas disponibles y el formato de los documentos."
ADM-10,Consola de plataforma,F2,06-consola-plataforma.md,"Impersonación de un usuario de empresa según `ARQ-14`, con motivo, caducidad y aviso visible."
ADM-11,Consola de plataforma,F2,06-consola-plataforma.md,"Métricas de plataforma: empresas activas, facturas emitidas, uso por módulo, adopción de funciones y errores por empresa."
ADM-12,Consola de plataforma,F2,06-consola-plataforma.md,"Suscripción y cobros: precio, ciclo, historial de pagos, estado de morosidad y suspensión automática configurable."
ADM-13,Consola de plataforma,F2,06-consola-plataforma.md,"Avisos dirigidos a una empresa o a todas, visibles dentro de la app con fecha de expiración."
ADM-14,Consola de plataforma,F2,06-consola-plataforma.md,"Exportación completa de los datos de una empresa (portabilidad) y borrado definitivo con periodo de gracia y confirmación doble."
ADM-23,Consola de plataforma,F2,06-consola-plataforma.md,"Detección de empresas duplicadas por nombre, teléfono y dirección, con acción de fusionar que conserva el historial de las dos."
ADM-15,Consola de plataforma,F3,06-consola-plataforma.md,"Restaurar los datos de una empresa a un punto en el tiempo, sin afectar a las demás."
ADM-16,Consola de plataforma,F3,06-consola-plataforma.md,"Plantillas de cuenta: crear una empresa nueva ya con categorías, impuestos y series típicas del giro."
IU-01,Interfaz,MVP,07-interfaz.md,"Un solo sistema de diseño compartido por las dos aplicaciones: tokens de color, tipografía y espaciado, más componentes de tabla, formulario, panel lateral y aviso."
IU-02,Interfaz,MVP,07-interfaz.md,"La consola usa los mismos componentes con una identidad visual distinta, para que nadie confunda en qué aplicación está."
IU-03,Interfaz,MVP,07-interfaz.md,"Tema claro y oscuro completos, que respetan la preferencia del sistema y recuerdan la elección del usuario."
IU-04,Interfaz,MVP,07-interfaz.md,"Un solo formato monetario y numérico, con cifras alineadas en columna en todas las tablas."
IU-05,Interfaz,F2,07-interfaz.md,"Buscador global con atajo de teclado que encuentra productos, clientes, facturas y pantallas."
IU-06,Interfaz,F2,07-interfaz.md,"Guía de primeros pasos por empresa: configurar datos, cargar productos, emitir la primera factura."
IU-07,Interfaz,F3,07-interfaz.md,"Panel personalizable: el usuario elige qué tarjetas ve y en qué orden."
RNF-01,No funcionales,MVP,08-no-funcionales.md,"Primera carga útil por debajo de 2 segundos y respuesta de listados por debajo de 400 ms en el percentil 95, con 50 000 productos y 200 000 facturas por empresa."
RNF-02,No funcionales,MVP,08-no-funcionales.md,"Ninguna pantalla carga una tabla completa en memoria; todo listado pagina y filtra en el servidor."
RNF-03,No funcionales,MVP,08-no-funcionales.md,"Uso completo en móvil, tableta y escritorio. Facturar y cuadrar son operables con una mano a 390 px de ancho."
RNF-04,No funcionales,MVP,08-no-funcionales.md,"Accesibilidad WCAG 2.1 AA: contraste, foco visible, recorrido por teclado, etiquetas para lector de pantalla y respeto a ""reducir movimiento""."
RNF-05,No funcionales,MVP,08-no-funcionales.md,"Español e inglés desde el primer día, con formatos de fecha, número y moneda por configuración regional."
RNF-06,No funcionales,MVP,08-no-funcionales.md,"Seguridad: contraseñas con hash Argon2id, tokens de vida corta, protección CSRF, límite de tasa por IP y por cuenta, cabeceras CSP y HSTS, cifrado en tránsito y en reposo."
RNF-07,No funcionales,MVP,08-no-funcionales.md,"El aislamiento entre empresas se verifica con pruebas automáticas en cada despliegue: por cada endpoint, un intento de leer o escribir datos de otra empresa debe fallar."
RNF-08,No funcionales,MVP,08-no-funcionales.md,"Pruebas unitarias obligatorias del núcleo: cálculo de impuestos, totales, existencias, numeración de documentos y cuadre de caja. Pruebas de extremo a extremo de facturar, importar y cerrar turno."
RNF-09,No funcionales,MVP,08-no-funcionales.md,"Respaldo diario con retención de 30 días, recuperación a un punto en el tiempo y prueba de restauración cada trimestre. Objetivo: perder como máximo 1 hora de datos y restablecer el servicio en 4 horas."
RNF-10,No funcionales,MVP,08-no-funcionales.md,"Disponibilidad objetivo del 99.5% mensual, con página de estado y ventanas de mantenimiento anunciadas."
RNF-11,No funcionales,MVP,08-no-funcionales.md,"Registro estructurado, trazas y alertas. Todo error mostrado al usuario incluye un identificador que soporte puede buscar."
RNF-12,No funcionales,MVP,08-no-funcionales.md,"Los documentos emitidos son inmutables: el PDF de una factura emitida hoy es idéntico si se descarga en dos años."
RNF-13,No funcionales,MVP,08-no-funcionales.md,"Migraciones de base de datos versionadas, reversibles y aplicadas automáticamente en el despliegue."
RNF-14,No funcionales,MVP,08-no-funcionales.md,"Retención de bitácora de 24 meses como mínimo, sin posibilidad de edición."
RNF-15,No funcionales,F2,08-no-funcionales.md,"Tolerancia a conexión intermitente en la pantalla de venta: la venta en curso no se pierde y se envía al recuperar la conexión."
